,Nome,Avaliação,Endereço,Website,Rede Social,0,1,2,3,4,5,6,Ranking,7
0,,,,,,,,"A, Av. Tiradentes, 1130 - Shangri-lá, Londrina - PR, 86070-545","MRX8+R6 Shangri-lá, Londrina - PR",espacosmart.com.br,(43) 3343-5050,Gerenciar esta ficha,"4,2",
1,,,,,,,,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,,"4,5",
2,,,,,,,,"Rod. Mabio Gonçalves Palhano, 955 - Gleba Fazenda Palhano, Londrina - PR, 86055-585","MR36+VC Gleba Fazenda Palhano, Londrina - PR",(43) 3028-2222,Reivindicar esta empresa,Adicionar horário,"4,7",Adicionar website
3,,,,,,,,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,,"4,5",
4,,,,,,,,"R. Fortaleza, 271 - Agari, Londrina - PR, 86020-240","MRXJ+89 Agari, Londrina - PR",depositosaomarcos.com.br,(43) 3376-1600,Reivindicar esta empresa,"4,4",
5,,,,,,,,"R. Pedro Botelho de Rezende, 1160 - Jardim Burle Marx, Londrina - PR, 86047-780","JRXP+69 Jardim Burle Marx, Londrina - PR",aiyellow.com,(43) 3341-8117,Adicionar horário,"4,8",
6,,,,,,,,"Av. Theodoro Victorelli, 650L - Jardim Helena, Londrina - PR, 86027-750","MVP4+RH Fraternidade, Londrina - PR",leroymerlin.com.br,(43) 99153-3076,,"4,0",
7,,,,,,,,"Av. Saul Elkind, 2900 - Jardim Athenas, Londrina - PR, 86082-001","PRRP+HJ Jardim Athenas, Londrina - PR",todimo.com.br,(43) 3372-5000,Gerenciar esta ficha,"4,2",
8,,,,,,,,"Av. Duque de Caxias, 1980 - Centro, Londrina - PR, 86010-190","MRQV+XV Centro, Londrina - PR",Reivindicar esta empresa,Adicionar número de telefone,Adicionar horário,"5,0",Adicionar website
9,,,,,,,,"R. Albert Einstein, 1046 - Vl Industrial, Londrina - PR, 86063-370","MRQ3+FJ Parque Jamaica, Londrina - PR",(43) 3327-0037,Reivindicar esta empresa,Adicionar website,"4,6",
10,,,,,,,,"Av. Europa, 100 - Jd Piza, Londrina - PR, 86041-000","MV24+75 Parque Res. Joao Piza, Londrina - PR",(43) 3341-2010,Adicionar website,,"4,5",
11,,,,,,,,"Av. do Café, 65 - Conj. Cafe, Londrina - PR, 86038-000","MVG7+85 Conj. Cafe, Londrina - PR",(43) 3325-7012,Reivindicar esta empresa,Adicionar website,"4,5",
12,,,,,,,,"Av. Tiradentes, 1181 - Jardim Shangri-Lá A, Londrina - PR, 86070-000","MRX8+J3 Jardim Shangri-Lá A, Londrina - PR",todimo.com.br,(43) 3375-5501,Gerenciar esta ficha,"4,4",
13,,,,,,,,"R. Tietê, 1750 - Jardim Tabapua, Londrina - PR, 86025-230","PR3H+XC Jardim Tabapua, Londrina - PR",depositolc.com.br,(43) 3334-1918,,"4,6",
14,,,,,,,,"R. Pref. Faria Lima, 1433 - Maringá, Londrina - PR, 86061-450","MRH6+C4 Maringá, Londrina - PR",pubdrtemtudo.wixsite.com,(43) 3347-6008,,"4,5",
