,Nome,Classificação,geometry
0,Telhanorte Tiradentes,847.0,POINT (-51.202416 -23.296205)
1,Todimo,725.0,POINT (-51.184791 -23.300455)
2,Leroy Merlin Londrina,410.0,POINT (-51.143541 -23.312455)
3,Depósito São Marcos,317.0,POINT (-51.169041 -23.301205)
4,Macripar Parafusos & Ferramentas,299.0,POINT (-51.17016599999999 -23.30333)
5,DEPÓSITO ROMANI,280.0,POINT (-51.151041 -23.35758)
6,DEPÓSITO ROMANI,280.0,POINT (-51.151041 -23.35758)
7,Todimo,274.0,POINT (-51.163416 -23.258079)
8,Depósito Roseira - Construção e Acabamentos,235.0,POINT (-51.137791 -23.35333)
9,Depósito Roseira - Construção e Acabamentos,235.0,POINT (-51.137791 -23.35333)
10,Depósito Roseira - Construção e Acabamentos,235.0,POINT (-51.137791 -23.35333)
11,Depósito Roseira - Construção e Acabamentos,235.0,POINT (-51.137791 -23.35333)
12,Depósito Roseira - Construção e Acabamentos,235.0,POINT (-51.137791 -23.35333)
13,Depósito Roseira - Construção e Acabamentos,235.0,POINT (-51.137791 -23.35333)
14,Depósito Roseira - Construção e Acabamentos,235.0,POINT (-51.137791 -23.35333)
15,ROPEL MÁQUINAS E FERRAMENTAS,235.0,POINT (-51.162791 -23.30383)
16,Depósito LondriNorte,232.0,POINT (-51.155291 -23.28883)
17,Príncipe - Casa e Construção,202.0,POINT (-51.14704099999999 -23.33958)
18,Dr. Tem Tudo Casa e Construção,197.0,POINT (-51.189666 -23.320955)
19,Depósito LC,184.0,POINT (-51.171416 -23.29458)
