,bairros,Quantidade de lojas
40,Centro Histórico,35
14,Vila Nova,25
24,Shangri-lá,13
46,Piza,10
3,Vivi Xavier,8
8,Alpes,8
11,Leonor,7
13,Vila Recreio,7
15,Vila Casoni,5
39,Quebec,5
49,Parque das Indústrias,4
45,Inglaterra,4
44,Tucanos,3
17,Lindóia,3
31,Lon Rita,3
10,Coliseu,3
32,Brasília,3
9,Pacaembú,3
5,Cilo 3,3
4,Cinco Conjuntos,3
23,Bandeirantes,2
22,Antares,2
19,Interlagos,2
2,Parigot de Souza,2
33,Vila Brasil,1
20,Fraternidade,1
43,Vivendas do Arvoredo,1
41,Califórnia,1
38,Guanabara,1
47,H.U.,1
36,Palhano,1
35,Sabará,1
34,Aeroporto,1
27,Presidente,1
16,Indústrias Leves,1
29,Ipiranga,1
28,Higienópolis,1
18,Ideal,1
26,Jamaica,1
25,Champagnat,1
51,Saltinho,0
48,União da Vitória,0
52,Ernani,0
53,Olímpico,0
50,Cafezal,0
0,Perobinha,0
42,Esperança,0
37,Bela Suíça,0
30,Petrópolis,0
1,Heimtal,0
21,Cidade Industrial 2,0
12,Ouro Verde,0
7,Cidade Industrial 1,0
6,Cilo 2,0
54,Universidade,0
